,network,seed,low,mid,high
379,5,38,921,0,0
380,5,39,918,0,0
381,5,40,916,0,0
382,5,41,918,0,0
383,5,42,919,0,0
384,5,43,913,0,0
385,5,44,913,0,0
386,5,45,915,0,0
387,5,46,920,0,0
388,5,47,919,0,0
389,5,48,920,0,0
390,5,49,922,0,0
391,5,50,917,0,0
392,5,51,917,0,0
393,5,52,919,0,0
394,5,53,919,0,0
395,5,54,907,4,0
396,5,55,921,0,0
397,5,56,912,0,0
398,5,57,919,2,0
399,5,58,923,0,0
400,5,59,920,0,0
401,5,60,915,0,0
402,5,61,925,0,0
403,5,62,924,0,0
404,5,63,922,0,0
405,5,64,924,0,0
406,5,65,916,0,0
407,5,66,918,0,0
408,5,67,916,0,0
409,5,68,922,0,0
410,5,69,921,0,0
411,5,70,922,0,0
412,5,71,921,0,0
413,5,72,912,0,0
414,5,73,922,2,0
415,5,74,920,0,0
416,5,75,918,0,0
417,5,76,924,0,0
418,5,77,924,0,0
419,5,78,919,0,0
420,5,79,920,0,0
421,5,80,921,1,0
422,5,81,918,3,0
423,5,82,915,0,0
424,5,83,914,2,0
425,5,84,916,0,0
426,5,85,927,0,0
427,5,86,916,0,0
428,5,87,917,0,0
429,5,88,911,0,0
430,5,89,926,0,0
431,5,90,928,0,0
432,5,91,916,0,0
433,5,92,914,0,0
434,5,93,917,0,0
435,5,94,924,0,0
436,5,95,920,0,0
437,5,96,915,0,0
438,5,97,918,1,0
439,5,98,914,0,0
440,5,99,922,0,0
441,6,0,840,0,0
442,6,1,840,0,0
443,6,2,841,0,0
444,6,3,839,0,0
445,6,4,842,0,0
446,6,5,839,0,0
447,6,6,838,3,0
448,6,7,840,0,0
449,6,8,840,0,0
450,6,9,840,0,0
451,6,10,842,0,0
452,6,11,839,0,0
453,6,12,841,2,0
454,6,13,840,0,0
455,6,14,841,0,0
456,6,15,841,0,0
457,6,16,841,0,0
458,6,17,841,3,0
459,6,18,842,7,0
460,6,19,841,0,0
461,6,20,841,0,0
462,6,21,839,0,0
463,6,22,839,0,0
464,6,23,840,0,0
465,6,24,842,0,0
466,6,25,841,0,0
467,6,26,839,0,0
468,6,27,841,0,0
469,6,28,837,0,0
470,6,29,841,0,0
471,6,30,842,0,0
472,6,31,843,0,0
473,6,32,841,0,0
474,6,33,841,0,0
475,6,34,842,0,0
476,6,35,841,0,0
477,6,36,841,0,0
478,6,37,840,0,0
479,6,38,841,0,0
480,6,39,843,0,0
481,6,40,843,0,0
482,6,41,840,0,0
483,6,42,841,0,0
484,6,43,840,0,0
485,6,44,840,0,0
486,6,45,841,0,0
487,6,46,841,0,0
488,6,47,841,0,0
489,6,48,841,0,0
